Stock,Entry_Date,Price_3Mo_Ago,Price_Today,Strategy_Return_%,Above_50SMA_At_Entry
SWARAJENG,2026-04-09,3702.42,3939.9,6.41,YES
LUPIN,2026-04-10,2333.8,2476.0,6.09,YES
GNA,2026-04-10,439.85,466.0,5.95,YES
VIPCLOTHNG,2026-04-09,23.3,24.66,5.84,YES
WEALTH,2026-04-10,939.1,992.4,5.68,YES
HATHWAY,2026-04-09,10.7,11.3,5.61,YES
SHANKARA,2026-04-08,121.84,128.6,5.55,YES
EKC,2026-04-10,111.68,117.77,5.45,YES
CHAMBLFERT,2026-04-10,456.7,481.55,5.44,YES
SPMLINFRA,2026-04-09,186.36,196.48,5.43,YES
MCX,2026-04-10,2669.4,2814.0,5.42,YES
JAYSREETEA,2026-04-09,81.86,85.97,5.02,YES
GOKULAGRO,2026-04-10,199.34,209.25,4.97,YES
MUNJALSHOW,2026-04-10,124.82,130.93,4.9,YES
NCLIND,2026-04-09,181.47,190.15,4.78,YES
HGS,2026-04-09,398.4,416.6,4.57,YES
CEATLTD,2026-04-10,3637.6,3799.4,4.45,YES
SIEMENS,2026-04-10,3388.5,3536.3,4.36,YES
FMGOETZE,2026-04-08,442.25,460.3,4.08,YES
COCHINSHIP,2026-04-10,1464.6,1524.1,4.06,YES
GOKUL,2026-04-08,39.91,41.52,4.03,YES
ANDHRSUGAR,2026-04-10,80.42,83.65,4.02,YES
RCF,2026-04-10,128.2,132.98,3.73,YES
MBLINFRA,2026-04-08,25.77,26.73,3.73,YES
IMAGICAA,2026-04-09,46.18,47.86,3.64,YES
CDSL,2026-04-10,1303.4,1350.6,3.62,YES
SAKHTISUG,2026-04-09,16.43,17.01,3.53,YES
GALLANTT,2026-04-09,665.5,688.75,3.49,YES
JPPOWER,2026-04-10,17.2,17.8,3.49,YES
BIKAJI,2026-04-09,639.9,662.2,3.48,YES
HINDOILEXP,2026-04-10,154.86,160.21,3.45,YES
BASF,2026-04-09,3543.6,3664.1,3.4,YES
UNIDT,2026-04-08,207.38,214.3,3.34,YES
GODFRYPHLP,2026-04-10,2101.6,2170.1,3.26,YES
INDTERRAIN,2026-04-08,32.24,33.28,3.23,YES
FACT,2026-04-10,857.6,883.3,3.0,YES
GANDHITUBE,2026-04-08,836.5,860.85,2.91,YES
