Stock,Pick_Date,Price_At_Pick,Evaluation_Date,Price_At_Evaluation,Forward_Return_%,Pct_Above_50MA_At_Pick,Volume_Surge_Ratio,Avg_Daily_Turnover_Cr,Liquidity_Tier,ATR_14,Stop_Loss_Price,Stop_Loss_%,Suggested_Shares,Capital_Allocated_Rs,Scan_Date
BEL,2026-01-30,449.0,2026-07-03,418.05,-6.89,10.2,2.21,903.2,Strong,12.78,423.44,5.69,195,87555.0,2026-01-30
JINDALSTEL,2026-01-30,1132.0,2026-07-03,1054.0,-6.89,9.1,1.67,192.42,Strong,33.53,1064.94,5.92,74,83768.0,2026-01-30
SBILIFE,2026-01-30,1998.5,2026-07-03,1788.7,-10.5,-1.6,1.88,214.57,Strong,41.0,1916.5,4.1,60,119910.0,2026-01-30
BPCL,2026-01-30,364.5,2026-07-03,308.15,-15.46,0.5,1.44,245.09,Strong,9.05,346.39,4.97,276,100602.0,2026-01-30
MUTHOOTFIN,2026-01-30,3829.6,2026-07-03,3054.9,-20.23,0.2,1.49,207.91,Strong,110.74,3608.13,5.78,22,84251.2,2026-01-30
ECLERX,2026-01-30,2325.6,2026-07-03,1488.8,-35.98,1.3,1.57,37.94,Strong,92.36,2140.89,7.94,27,62791.2,2026-01-30
CUPID,2026-02-03,83.04,2026-07-03,198.84,139.45,0.5,1.5,709.43,Strong,6.59,69.86,15.88,379,31472.16,2026-02-03
SANSERA,2026-02-03,1852.0,2026-07-03,3251.5,75.57,6.5,1.31,31.57,Strong,85.34,1681.31,9.22,29,53708.0,2026-02-03
ADANIPOWER,2026-02-03,143.62,2026-07-03,221.79,54.43,0.7,2.11,228.56,Strong,5.1,133.42,7.1,490,70373.8,2026-02-03
RATEGAIN,2026-02-03,647.15,2026-07-03,941.05,45.41,-2.5,2.5,20.9,Strong,28.83,589.49,8.91,86,55654.9,2026-02-03
SAILIFE,2026-02-03,879.15,2026-07-03,1257.3,43.01,-0.6,1.53,33.11,Strong,31.42,816.31,7.15,79,69452.85,2026-02-03
NETWEB,2026-02-03,3207.5,2026-07-03,4427.4,38.03,0.1,1.31,521.39,Strong,184.96,2837.57,11.53,13,41697.5,2026-02-03
NAM-INDIA,2026-02-03,929.0,2026-07-03,1218.2,31.13,7.5,1.5,83.31,Strong,39.64,849.71,8.53,63,58527.0,2026-02-03
POLYCAB,2026-02-03,7505.0,2026-07-03,9548.5,27.23,2.0,1.32,387.4,Strong,255.75,6993.5,6.82,9,67545.0,2026-02-03
STARHEALTH,2026-02-03,470.2,2026-07-03,580.3,23.42,2.6,1.74,40.87,Strong,12.87,444.46,5.47,194,91218.8,2026-02-03
KEI,2026-02-03,4367.0,2026-07-03,5270.5,20.69,3.7,2.87,146.14,Strong,167.7,4031.6,7.68,14,61138.0,2026-02-03
ABCAPITAL,2026-02-03,345.45,2026-07-03,401.25,16.15,-2.0,1.46,163.81,Strong,12.23,320.99,7.08,204,70471.8,2026-02-03
YESBANK,2026-02-03,21.31,2026-07-03,24.39,14.45,-3.6,1.35,266.16,Strong,0.64,20.03,6.02,3897,83045.07,2026-02-03
TITAN,2026-02-03,4068.6,2026-07-03,4461.1,9.65,2.0,1.32,411.56,Strong,88.78,3891.04,4.36,28,113920.8,2026-02-03
NMDC,2026-02-03,81.65,2026-07-03,85.4,4.59,3.0,1.35,238.14,Strong,2.79,76.06,6.84,895,73076.75,2026-02-03
CARTRADE,2026-02-03,2613.6,2026-07-03,2699.6,3.29,-5.8,2.56,105.31,Strong,155.56,2302.49,11.9,16,41817.6,2026-02-03
LT,2026-02-03,4038.8,2026-07-03,4026.6,-0.3,1.1,1.75,853.97,Strong,82.46,3873.89,4.08,30,121164.0,2026-02-03
CEATLTD,2026-02-03,3880.7,2026-07-03,3799.4,-2.09,1.9,1.87,63.62,Strong,134.49,3611.73,6.93,18,69852.6,2026-02-03
TVSMOTOR,2026-02-03,3726.3,2026-07-03,3627.4,-2.65,1.8,1.48,275.43,Strong,109.36,3507.59,5.87,22,81978.6,2026-02-03
BEL,2026-02-03,438.95,2026-07-03,418.05,-4.76,7.5,2.51,981.57,Strong,15.02,408.91,6.84,166,72865.7,2026-02-03
360ONE,2026-02-03,1167.6,2026-07-03,1109.5,-4.98,1.4,1.43,180.12,Strong,45.74,1076.11,7.84,54,63050.4,2026-02-03
BRITANNIA,2026-02-03,5882.0,2026-07-03,5379.0,-8.55,-0.9,1.95,231.55,Strong,126.46,5629.07,4.3,19,111758.0,2026-02-03
SBILIFE,2026-02-03,2002.1,2026-07-03,1788.7,-10.66,-1.4,2.14,234.07,Strong,45.69,1910.71,4.56,54,108113.4,2026-02-03
