Stock,Reason
JKLAKSHMI,Not above 150MA/200MA
JKPAPER,Not above 150MA/200MA
JKTYRE,Not above 150MA/200MA
JLHL,MA alignment failed (50>150>200)
JMFINANCIL,Not above 150MA/200MA
JPPOWER,MA alignment failed (50>150>200)
JSFB,MA alignment failed (50>150>200)
JSL,Not above 150MA/200MA
JSLL,Not above 150MA/200MA
JSWCEMENT,Insufficient history (222 rows)
JSWDULUX,MA alignment failed (50>150>200)
JSWENERGY,MA alignment failed (50>150>200)
JSWINFRA,MA alignment failed (50>150>200)
JSWSTEEL,Not enough distance above 52-week low
JUBLFOOD,Not above 150MA/200MA
JUBLINGREA,MA alignment failed (50>150>200)
JUBLPHARMA,Not above 150MA/200MA
JUSTDIAL,Not above 150MA/200MA
JWL,Not above 150MA/200MA
JYOTHYLAB,Not above 150MA/200MA
JYOTICNC,Not above 150MA/200MA
KAJARIACER,MA alignment failed (50>150>200)
KALYANKJIL,Not above 150MA/200MA
KANSAINER,Not above 150MA/200MA
KARURVYSYA,No volume surge (1.06x)
KAYNES,Not above 150MA/200MA
KEC,Not above 150MA/200MA
KEI,No confirmed retest yet
KFINTECH,Not above 150MA/200MA
KIMS,MA alignment failed (50>150>200)
KIRLOSBROS,MA alignment failed (50>150>200)
KIRLOSENG,Too extended above 50MA (17.6%)
KIRLPNU,No fresh 50MA crossover in last 10 days
KITEX,Not above 150MA/200MA
KNRCON,Not above 150MA/200MA
KOTAKBANK,Not above 150MA/200MA
KPIGREEN,Not above 150MA/200MA
KPIL,MA alignment failed (50>150>200)
KPITTECH,Not above 150MA/200MA
KPRMILL,MA alignment failed (50>150>200)
KRBL,MA alignment failed (50>150>200)
KRN,Retest broke below the 50MA - failed support
KSB,No fresh 50MA crossover in last 10 days
KSCL,Not above 150MA/200MA
KTKBANK,No confirmed retest yet
LALPATHLAB,MA alignment failed (50>150>200)
LATENTVIEW,Not above 150MA/200MA
LAURUSLABS,Too extended above 50MA (8.5%)
LEMONTREE,Not above 150MA/200MA
LENSKART,Insufficient history (165 rows)
LGEINDIA,Insufficient history (182 rows)
LICHSGFIN,MA alignment failed (50>150>200)
LICI,MA alignment failed (50>150>200)
LINDEINDIA,No confirmed retest yet
LLOYDSENGG,MA alignment failed (50>150>200)
LLOYDSENT,MA alignment failed (50>150>200)
LLOYDSME,No confirmed retest yet
LODHA,MA alignment failed (50>150>200)
LOTUSDEV,Insufficient history (228 rows)
LT,Not enough distance above 52-week low
LTF,Too extended above 50MA (16.8%)
LTFOODS,Not above 150MA/200MA
LTM,Not above 150MA/200MA
LTTS,Not above 150MA/200MA
LUMAXTECH,Not above 150MA/200MA
LUPIN,No fresh 50MA crossover in last 10 days
LXCHEM,Not above 150MA/200MA
M&M,Not above 150MA/200MA
M&MFIN,Not above 150MA/200MA
MAHABANK,No fresh 50MA crossover in last 10 days
MAHSCOOTER,Not above 150MA/200MA
MAHSEAMLES,200MA not trending up
MANAPPURAM,Too extended above 50MA (8.7%)
MANKIND,MA alignment failed (50>150>200)
MANORAMA,MA alignment failed (50>150>200)
MANYAVAR,Not above 150MA/200MA
MAPMYINDIA,Not above 150MA/200MA
MARICO,Not enough distance above 52-week low
MARKSANS,Too extended above 50MA (11.6%)
MARUTI,Not above 150MA/200MA
MASTEK,Not above 150MA/200MA
MAXHEALTH,MA alignment failed (50>150>200)
