Stock,Reason
PAYTM,Not above 150MA/200MA
PCBL,Not above 150MA/200MA
PCJEWELLER,Not above 150MA/200MA
PERSISTENT,Not above 150MA/200MA
PETRONET,Not above 150MA/200MA
PFC,MA alignment failed (50>150>200)
PFIZER,Not above 150MA/200MA
PFOCUS,No fresh 50MA crossover in last 15 trading days - trend too old
PGEL,Not above 150MA/200MA
PGIL,"No volume surge (0.63x, need >=1.3x)"
PHOENIXLTD,MA alignment failed (50>150>200)
PICCADIL,Insufficient history as of FROM_DATE (206 rows)
PIDILITIND,Not above 150MA/200MA
PIIND,Not above 150MA/200MA
PINELABS,Insufficient history as of FROM_DATE (114 rows)
PIRAMALFIN,Insufficient history as of FROM_DATE (119 rows)
PNB,Not above 150MA/200MA
PNBHOUSING,MA alignment failed (50>150>200)
PNCINFRA,Not above 150MA/200MA
PNGJL,MA alignment failed (50>150>200)
POLICYBZR,Not above 150MA/200MA
POLYCAB,"No volume surge (0.71x, need >=1.3x)"
POLYMED,Not above 150MA/200MA
POONAWALLA,Not above 150MA/200MA
POWERGRID,MA alignment failed (50>150>200)
POWERINDIA,"Too extended above 50MA (26.2%) - already flown, not fresh"
POWERMECH,Not above 150MA/200MA
PPLPHARMA,Not above 150MA/200MA
PRAJIND,MA alignment failed (50>150>200)
PREMIERENE,MA alignment failed (50>150>200)
PRESTIGE,Not above 150MA/200MA
PRICOLLTD,Not above 150MA/200MA
PRIVISCL,No fresh 50MA crossover in last 15 trading days - trend too old
PRSMJOHNSN,Not above 150MA/200MA
PRUDENT,MA alignment failed (50>150>200)
PTC,MA alignment failed (50>150>200)
PTCIL,Not above 150MA/200MA
PURVA,Not above 150MA/200MA
PVRINOX,MA alignment failed (50>150>200)
PWL,Insufficient history as of FROM_DATE (112 rows)
QPOWER,"Too extended above 50MA (42.1%) - already flown, not fresh"
QUESS,Not above 150MA/200MA
RADICO,MA alignment failed (50>150>200)
RAILTEL,Not above 150MA/200MA
RAIN,Not above 150MA/200MA
RAINBOW,Not above 150MA/200MA
RALLIS,Not above 150MA/200MA
RAMCOCEM,Not above 150MA/200MA
RATEGAIN,Not above 150MA/200MA
RATNAMANI,MA alignment failed (50>150>200)
RAYMONDLSL,Not above 150MA/200MA
RBA,Not above 150MA/200MA
RBLBANK,No fresh 50MA crossover in last 15 trading days - trend too old
RCF,Not above 150MA/200MA
RECLTD,Not above 150MA/200MA
REDINGTON,Not above 150MA/200MA
REDTAPE,MA alignment failed (50>150>200)
REFEX,Not above 150MA/200MA
RELAXO,Not above 150MA/200MA
RELIANCE,Not above 150MA/200MA
RELIGARE,Not above 150MA/200MA
RENUKA,MA alignment failed (50>150>200)
RHIM,Not above 150MA/200MA
RITES,Not above 150MA/200MA
RKFORGE,MA alignment failed (50>150>200)
ROUTE,Not above 150MA/200MA
RPOWER,Not above 150MA/200MA
RTNINDIA,Not above 150MA/200MA
RTNPOWER,Not above 150MA/200MA
RUBICON,Insufficient history as of FROM_DATE (131 rows)
RVNL,Not above 150MA/200MA
SAATVIKGL,Insufficient history as of FROM_DATE (146 rows)
SAFARI,Not above 150MA/200MA
SAGILITY,Not above 150MA/200MA
SAIL,No fresh 50MA crossover in last 15 trading days - trend too old
SAILIFE,"No volume surge (1.03x, need >=1.3x)"
SAMHI,Not above 150MA/200MA
SAMMAANCAP,Not above 150MA/200MA
SANDUMA,MA alignment failed (50>150>200)
SANOFICONR,MA alignment failed (50>150>200)
SANSERA,No fresh 50MA crossover in last 15 trading days - trend too old
SAPPHIRE,Not above 150MA/200MA
SARDAEN,MA alignment failed (50>150>200)
SAREGAMA,Not above 150MA/200MA
SBFC,Not above 150MA/200MA
SBICARD,Not above 150MA/200MA
SBILIFE,Not above 150MA/200MA
SBIN,"No volume surge (0.79x, need >=1.3x)"
SCHAEFFLER,MA alignment failed (50>150>200)
SCHNEIDER,MA alignment failed (50>150>200)
SCI,"Too extended above 50MA (18.3%) - already flown, not fresh"
SENCO,Not above 150MA/200MA
SFL,Not above 150MA/200MA
SHAILY,MA alignment failed (50>150>200)
SHAKTIPUMP,Not above 150MA/200MA
SHARDACROP,MA alignment failed (50>150>200)
SHAREINDIA,Not above 150MA/200MA
SHILPAMED,MA alignment failed (50>150>200)
SHREECEM,Not above 150MA/200MA
SHRIPISTON,No fresh 50MA crossover in last 15 trading days - trend too old
SHRIRAMFIN,"No volume surge (0.77x, need >=1.3x)"
SHYAMMETL,MA alignment failed (50>150>200)
SIEMENS,No fresh 50MA crossover in last 15 trading days - trend too old
SIGNATURE,Not above 150MA/200MA
SJVN,Not above 150MA/200MA
SKFINDIA,Not above 150MA/200MA
SKFINDUS,Insufficient history as of FROM_DATE (96 rows)
SKIPPER,MA alignment failed (50>150>200)
SKYGOLD,"Too extended above 50MA (22.2%) - already flown, not fresh"
SMARTWORKS,Insufficient history as of FROM_DATE (194 rows)
SMLMAH,Not above 150MA/200MA
SOBHA,Not above 150MA/200MA
